CARD	LEW	D
WFM2.2	Car-L1.1	0.101984
WFM2.2	Car-L10.1	0.097424
WFM2.2	Car-L8.1b	0.102226
WFM2.2	FAL6.1b	0.093015
WFM2.2	FAL7.1	0.09363
WFM2.2	FAL8.1	0.09468
WFM2.2	HST1.1	0.103597
WFM2.2	HST2.1	0.102973
WFM2.2	HST5.1b	0.101866
WFM2.2	Holly	0.092436
WFM2.2	IOM3.1.1	0.089723
WFM2.2	JAC1.1	0.089468
WFM2.2	JAC2.1	0.091126
WFM2.2	JAC4.1	0.088256
WFM2.2	LH217.1	0.090648
WFM2.2	LH223.1	0.087851
WFM2.2	LH266.1	0.093673
WFM2.2	PPK1.1	0.09237
WFM2.2	PPK5.1	0.090277
WFM2.2	SNO8.1	0.101608
WFM2.2	SPC.3.1	0.081552
WFM2.2	SPC.5.1b	0.079049
WFM2.2	YL51.1	0.077835
WFM3.1	Car-L1.1	0.103296
WFM3.1	Car-L10.1	0.097803
WFM3.1	Car-L8.1b	0.101082
WFM3.1	FAL6.1b	0.095242
WFM3.1	FAL7.1	0.094559
WFM3.1	FAL8.1	0.095147
WFM3.1	HST1.1	0.101037
WFM3.1	HST2.1	0.099895
WFM3.1	HST5.1b	0.099069
WFM3.1	Holly	0.091142
WFM3.1	IOM3.1.1	0.091946
WFM3.1	JAC1.1	0.089295
WFM3.1	JAC2.1	0.092745
WFM3.1	JAC4.1	0.0894
WFM3.1	LH217.1	0.091067
WFM3.1	LH223.1	0.089233
WFM3.1	LH266.1	0.094865
WFM3.1	PPK1.1	0.093035
WFM3.1	PPK5.1	0.092643
WFM3.1	SNO8.1	0.100829
WFM3.1	SPC.3.1	0.083546
WFM3.1	SPC.5.1b	0.080214
WFM3.1	YL51.1	0.079379
